NAME,the_geom,TEL,URL,ADDRESS1,CITY,ZIP,GRADING
Portrait Gallery,POINT (-73.92228135415756 40.60993574125617),(718) 377-8762,http://brooklyn.ny.povo.com/Portrait_Gallery_%28Kings_Highway%29,5100 Kings Plz,Brooklyn,11234,7.7
Urban Architecture Gallery of Applied Arts Inc,POINT (-73.95568290353586 40.73872000117206),(718) 349-3837,http://www.urbanarchitecture.us/,1205 Manhattan Ave,Brooklyn,11222,6.1
2 Welancora Gallery,POINT (-73.94151974328003 40.68407789876472),(718) 919-0344,http://www.welancora.com/,410 Jefferson Ave,Brooklyn,11221,6.1
Amos Eno Gallery,POINT (-73.98909223945212 40.702839860367),(718) 237-3001,http://www.amoseno.org/,111 Front Street,Brooklyn,11201,6.0
Hanover Sq Gallery,POINT (-73.97128381308526 40.676988341293075),(212) 344-4406,http://www.artnet.com/gallery/116829/hanover-square-gallery.html,202 Park Place,Brooklyn,11238,5.8
Momenta Art Gallery,POINT (-73.96295355070409 40.71150041862991),(718) 218-8058,http://momentaart.org/,359 Bedford Ave,Brooklyn,11211,5.7
Hut Gallery the,POINT (-73.98698065821226 40.688071767104695),(718) 222-9519,http://home.vicnet.net.au/~thehut/,84 Hoyt St,Brooklyn,11201,5.6
Miakey Art Gallery,POINT (-74.00855557930753 40.64025482225344),(718) 686-0788,http://find.mapmuse.com/details/art-galleries/3229245,5402 7th Ave,Brooklyn,11220,5.6
Demu Gallery,POINT (-73.97407489974366 40.68639582033313),(718) 596-8484,http://local.yahoo.com/info-11335092-demu-m-demu-gallery-brooklyn,761 Fulton St,Brooklyn,11217,5.5
Faith Art Gallery Corp,POINT (-73.98502183713724 40.69145797289582),(718) 596-4659,http://ny.citysquares.com/brooklyn/downtown-brooklyn/arts-entertainment/artists-art-dealers/faith-art-gallery-corp,393 Bridge St,Brooklyn,11201,5.4
Black & White Gallery Inc,POINT (-73.95464222868095 40.718442376759846),(718) 599-8775,http://www.blackandwhiteartgallery.com/,483 Driggs Ave,Brooklyn,11211,5.3
Rotunda Gallery,POINT (-73.99146799382999 40.69515733841206),(718) 875-4047,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,33 Clinton St,Brooklyn,11201,5.2
Rudolph De Paola Art Gallery,POINT (-74.02172406852321 40.6179934963939),(718) 238-6026,http://www.merchantcircle.com/business/Rudolph.de.Paola.Art.Gallery.718-238-6026,6 Parrott Pl,Brooklyn,11228,5.0
The Dollhaus Art Gallery,POINT (-73.96728726366906 40.710901835702906),(718) 486-0330,http://www.dollhaus.org/press/NYPress.htm,37 Broadway,Brooklyn,11211,2.3
